symbol,universe_type,exposure_type,bar_grain,fund_name,issuer_name
AIQ,sector_observation_etf,thematic_growth,1d,Global X Artificial Intelligence & Technology ETF,Global X
ARKF,sector_observation_etf,thematic_growth,1d,ARK Blockchain & Fintech Innovation ETF,ARK Invest
ARKG,sector_observation_etf,thematic_growth,1d,ARK Genomic Revolution ETF,ARK Invest
ARKW,sector_observation_etf,thematic_growth,1d,ARK Next Generation Internet ETF,ARK Invest
ARKX,sector_observation_etf,thematic_growth,1d,ARK Space & Defense Innovation ETF,ARK Invest
BITW,sector_observation_etf,crypto_beta,30m,Bitwise 10 Crypto Index ETF,Bitwise Asset Management
BKCH,sector_observation_etf,crypto_beta,30m,Global X Blockchain ETF,Global X
BOTZ,sector_observation_etf,industry_chain,1d,Global X Robotics & Artificial Intelligence ETF,Global X
CIBR,sector_observation_etf,industry_chain,1d,First Trust Nasdaq Cybersecurity ETF,First Trust
EWT,sector_observation_etf,industry_chain,1d,iShares MSCI Taiwan ETF,BlackRock / iShares
EWY,sector_observation_etf,industry_chain,1d,iShares MSCI South Korea ETF,BlackRock / iShares
EWZ,sector_observation_etf,industry_chain,1d,iShares MSCI Brazil ETF,BlackRock / iShares
FDN,sector_observation_etf,thematic_growth,1d,First Trust Dow Jones Internet Index Fund,First Trust
IGV,sector_observation_etf,industry_chain,1d,iShares Expanded Tech-Software Sector ETF,BlackRock / iShares
IYT,sector_observation_etf,industry_chain,1d,iShares U.S. Transportation ETF,BlackRock / iShares
IYW,sector_observation_etf,industry_chain,1d,iShares U.S. Technology ETF,BlackRock / iShares
JETS,sector_observation_etf,industry_chain,1d,U.S. Global Jets ETF,U.S. Global Investors
KBE,sector_observation_etf,industry_chain,1d,SPDR S&P Bank ETF,State Street / SPDR
KRE,sector_observation_etf,industry_chain,1d,SPDR S&P Regional Banking ETF,State Street / SPDR
MOO,sector_observation_etf,industry_chain,1d,VanEck Agribusiness ETF,VanEck
SMH,sector_observation_etf,industry_chain,1d,VanEck Semiconductor ETF,VanEck
SOXX,sector_observation_etf,industry_chain,1d,iShares Semiconductor ETF,BlackRock / iShares
VGT,sector_observation_etf,industry_chain,1d,Vanguard Information Technology ETF,Vanguard
XBI,sector_observation_etf,thematic_growth,1d,SPDR S&P Biotech ETF,State Street / SPDR
XLB,sector_observation_etf,sp500_sector,30m,Materials Select Sector SPDR Fund,State Street / SPDR
XLC,sector_observation_etf,sp500_sector,30m,Communication Services Select Sector SPDR Fund,State Street / SPDR
XLE,sector_observation_etf,sp500_sector,30m,Energy Select Sector SPDR Fund,State Street / SPDR
XLF,sector_observation_etf,sp500_sector,30m,Financial Select Sector SPDR Fund,State Street / SPDR
XLI,sector_observation_etf,sp500_sector,30m,Industrial Select Sector SPDR Fund,State Street / SPDR
XLK,sector_observation_etf,sp500_sector,30m,Technology Select Sector SPDR Fund,State Street / SPDR
XLP,sector_observation_etf,sp500_sector,30m,Consumer Staples Select Sector SPDR Fund,State Street / SPDR
XLRE,sector_observation_etf,sp500_sector,30m,Real Estate Select Sector SPDR Fund,State Street / SPDR
XLU,sector_observation_etf,sp500_sector,30m,Utilities Select Sector SPDR Fund,State Street / SPDR
XLV,sector_observation_etf,sp500_sector,30m,Health Care Select Sector SPDR Fund,State Street / SPDR
XLY,sector_observation_etf,sp500_sector,30m,Consumer Discretionary Select Sector SPDR Fund,State Street / SPDR
XME,sector_observation_etf,industry_chain,1d,SPDR S&P Metals & Mining ETF,State Street / SPDR
XOP,sector_observation_etf,industry_chain,1d,SPDR S&P Oil & Gas Exploration & Production ETF,State Street / SPDR
XRT,sector_observation_etf,industry_chain,1d,SPDR S&P Retail ETF,State Street / SPDR
XSD,sector_observation_etf,industry_chain,1d,SPDR S&P Semiconductor ETF,State Street / SPDR
XSW,sector_observation_etf,industry_chain,1d,SPDR S&P Software & Services ETF,State Street / SPDR
CPER,market_state_etf,commodities,1m,United States Copper Index Fund,USCF Investments
DBC,market_state_etf,commodities,1m,Invesco DB Commodity Index Tracking Fund,Invesco
DBA,market_state_etf,commodities,1m,Invesco DB Agriculture Fund,Invesco
DIA,market_state_etf,us_equity_core,1m,SPDR Dow Jones Industrial Average ETF Trust,State Street / SPDR
EEM,market_state_etf,us_equity_core,1m,iShares MSCI Emerging Markets ETF,BlackRock / iShares
EFA,market_state_etf,us_equity_core,1m,iShares MSCI EAFE ETF,BlackRock / iShares
FSOL,market_state_etf,crypto_beta,30m,Fidelity Solana Fund,Fidelity
GLD,market_state_etf,commodities,1m,SPDR Gold Shares,World Gold Trust Services / SPDR
HYG,market_state_etf,credit,30m,iShares iBoxx $ High Yield Corporate Bond ETF,BlackRock / iShares
IBIT,market_state_etf,crypto_beta,30m,iShares Bitcoin Trust ETF,BlackRock / iShares
IWM,market_state_etf,us_equity_core,1m,iShares Russell 2000 ETF,BlackRock / iShares
LQD,market_state_etf,credit,30m,iShares iBoxx $ Investment Grade Corporate Bond ETF,BlackRock / iShares
QQQ,market_state_etf,us_equity_core,1m,"Invesco QQQ Trust, Series 1",Invesco
SLV,market_state_etf,commodities,1m,iShares Silver Trust,BlackRock / iShares
SPY,market_state_etf,us_equity_core,1m,SPDR S&P 500 ETF Trust,State Street / SPDR
TLT,market_state_etf,rates_curve,30m,iShares 20+ Year Treasury Bond ETF,BlackRock / iShares
UNG,market_state_etf,commodities,1m,"United States Natural Gas Fund, LP",USCF Investments
USO,market_state_etf,commodities,1m,"United States Oil Fund, LP",USCF Investments
UUP,market_state_etf,usd_volatility,1m,Invesco DB US Dollar Index Bullish Fund,Invesco
VIXY,market_state_etf,usd_volatility,1m,ProShares VIX Short-Term Futures ETF,ProShares
VNQ,market_state_etf,credit,30m,Vanguard Real Estate ETF,Vanguard
